date,goods_no,sell_num
2026-09-25,191534262,120
2026-09-25,191700749,4497
2026-09-25,191852111,516
2026-09-25,191852992,612
2026-09-25,191890082,1302
2026-09-25,192021270,216
2026-09-25,192038123,216
2026-09-25,192047818,1566
2026-09-25,192123866,312
2026-09-25,192139754,906
2026-09-25,192148896,37569
2026-09-25,192164452,1362
2026-09-25,192285191,126
2026-09-25,192470678,1170
2026-09-25,192564687,2169
2026-09-25,192564690,1218
2026-09-25,192566622,720
2026-09-25,192666096,459
2026-09-25,192687431,12
2026-09-25,192877325,24009
2026-09-25,192974931,48
2026-09-25,193050689,978
2026-09-25,193058538,492
2026-09-25,193157707,894
2026-09-25,193184189,1140
2026-09-25,193465618,390
2026-09-25,193466964,516
2026-09-25,193583379,1599
2026-09-25,193588890,540
2026-09-25,193592364,480
2026-09-25,193808287,306
2026-09-25,193816812,390
2026-09-25,193847679,270
2026-09-25,193850555,660
2026-09-25,193852769,2352
2026-09-25,193852891,7167
2026-09-25,193853503,102
2026-09-25,193918984,162
2026-09-25,193988162,204
2026-09-25,194188912,4239
2026-09-25,194189421,3444
2026-09-25,194190603,306
2026-09-25,194254800,1935
2026-09-25,194315477,2142
2026-09-25,194350050,3201
2026-09-25,194368478,588
2026-09-25,194490137,66
2026-09-25,194490698,684
2026-09-25,194491867,3357
2026-09-25,194502134,168
2026-09-25,194502817,1902
2026-09-25,194513646,7446
2026-09-25,194523745,366
2026-09-25,194591330,516
2026-09-25,194601369,840
2026-09-25,194606659,1038
2026-09-25,194643187,1125
2026-09-25,194751433,438
2026-09-25,194820568,3609
2026-09-25,194890597,1467
2026-09-25,194907391,3309
2026-09-25,194907757,717
2026-09-25,194919963,1134
2026-09-25,195027158,1791
2026-09-25,195027162,5994
2026-09-25,195027680,846
2026-09-25,195030345,1296
2026-09-25,195042550,9123
2026-09-25,195075733,585
2026-09-25,195075984,882
2026-09-25,195093975,120
2026-09-25,195125344,666
2026-09-25,195137581,2682
2026-09-25,195141280,2964
2026-09-25,195212300,306
2026-09-25,195217540,252
2026-09-25,195220905,294
2026-09-25,195234494,168
2026-09-25,195235902,534
2026-09-25,195238254,1236
2026-09-25,195254242,903
2026-09-25,195257074,1464
2026-09-25,195265923,6687
2026-09-25,195277760,771
2026-09-25,195413173,648
2026-09-25,195413175,3342
2026-09-25,195413176,1863
2026-09-25,195414502,504
2026-09-25,195436652,2760
2026-09-25,195440647,1080
2026-09-25,195475095,930
2026-09-25,195475100,1200
2026-09-25,195475102,1344
2026-09-25,195479527,1374
2026-09-25,195593367,2850
2026-09-25,195612765,5727
